63.5000	5.8333
64.8333	16.1667
65.8333	25.5000
67.8333	35.8333
68.8333	44.5000
70.5000	55.8333
71.8333	64.8333
73.1667	74.5000
74.8333	86.1667
75.8333	94.8333
78.1667	105.1667
79.8333	115.5000
82.1667	128.1667
84.8333	140.1667
87.8333	152.8333
90.8333	162.1667
93.5000	171.8333
97.5000	181.8333
101.8333	190.8333
105.8333	198.5000
111.1667	206.1667
116.5000	212.5000
122.1667	219.1667
131.5000	226.8333
142.8333	233.5000
152.1667	236.8333
163.1667	239.5000
78.8333	111.1667
80.8333	122.1667
85.8333	146.8333
92.1667	166.5000
95.5000	177.5000
99.5000	186.8333
114.5000	210.1667
128.8333	224.5000
77.1667	100.8333
75.5000	90.8333
73.5000	79.8333
72.5000	70.5000
70.5000	59.1667
69.8333	50.5000
68.1667	39.5000
66.8333	29.5000
65.8333	21.5000
64.1667	9.8333
169.1667	240.8333
175.1667	242.1667
181.5000	243.1667
188.1667	244.1667
193.8333	244.1667
196.1667	244.1667
135.1667	229.1667
157.1667	238.1667
109.1667	203.5000
103.8333	195.1667
126.5000	222.5000
83.8333	136.5000
82.8333	132.1667
146.8333	235.1667
63.1667	2.1667
